Core	Average	Leaves
group1	0.04305728918460902	otu27;otu80;otu93;otu12;otu20;otu32;otu67;otu76;otu31;otu48
group2	0.1420120366913678	otu90;otu3;otu79;otu72;otu33;otu50;otu6;otu74;otu1;otu75
group3	0.08879874018108186	otu40;otu23;otu51;otu18;otu4;otu57;otu63;otu13;otu44;otu52
group4	0.11561009611239341	otu70;otu42;otu89;otu82;otu21;otu64;otu2;otu78;otu30;otu56
group5	0.09394934160801348	otu22;otu99;otu54;otu86;otu100;otu24;otu15;otu34;otu16;otu10
group6	0.01362794368527216	otu59;otu81;otu47;otu96;otu62;otu91;otu61;otu41;otu9;otu39
group7	0.12072814805505239	otu38;otu35;otu71;otu8;otu26;otu77;otu98;otu25;otu60;otu14
group8	0.1319801035452696	otu87;otu5;otu17;otu55;otu19;otu73;otu11;otu28;otu94;otu43
group9	0.10042924378231816	otu95;otu45;otu37;otu49;otu83;otu36;otu65;otu29;otu85;otu69
group10	0.1498070571546221	otu68;otu46;otu88;otu97;otu92;otu66;otu53;otu7;otu58;otu84
100		
