Core	Average	Leaves
group1	0.1	otu558;otu232;otu365;otu222;otu272;otu445;otu397;otu477;otu831;otu652;otu643;otu53;otu670;otu902;otu621;otu850;otu67;otu852;otu372;otu844;otu757;otu93;otu519;otu282;otu956;otu958;otu939;otu539;otu18;otu726;otu326;otu588;otu414;otu141;otu678;otu699;otu466;otu124;otu15;otu922;otu557;otu991;otu239;otu443;otu432;otu338;otu479;otu442;otu737;otu709;otu801;otu816;otu413;otu262;otu594;otu680;otu100;otu911;otu315;otu217;otu493;otu611;otu552;otu566;otu359;otu673;otu940;otu155;otu240;otu428;otu30;otu597;otu568;otu3;otu161;otu309;otu774;otu762;otu367;otu829;otu897;otu735;otu884;otu387;otu122;otu879;otu203;otu722;otu971;otu917;otu779;otu243;otu742;otu34;otu795;otu875;otu601;otu942;otu164;otu269
group2	0.1	otu512;otu61;otu910;otu989;otu374;otu811;otu13;otu570;otu925;otu270;otu867;otu497;otu461;otu470;otu572;otu300;otu532;otu955;otu976;otu758;otu249;otu147;otu455;otu215;otu431;otu313;otu17;otu899;otu573;otu192;otu515;otu747;otu769;otu674;otu920;otu689;otu873;otu208;otu424;otu602;otu49;otu979;otu97;otu604;otu280;otu330;otu928;otu650;otu803;otu641;otu418;otu772;otu259;otu197;otu399;otu835;otu226;otu995;otu386;otu244;otu113;otu792;otu115;otu389;otu273;otu248;otu969;otu390;otu978;otu657;otu406;otu482;otu615;otu756;otu733;otu904;otu271;otu624;otu116;otu260;otu891;otu412;otu644;otu556;otu725;otu153;otu771;otu201;otu592;otu818;otu900;otu664;otu781;otu503;otu857;otu452;otu85;otu848;otu29;otu740
group3	0.1	otu96;otu25;otu841;otu32;otu529;otu253;otu682;otu874;otu593;otu856;otu492;otu95;otu247;otu472;otu719;otu167;otu651;otu251;otu480;otu104;otu346;otu750;otu936;otu494;otu357;otu642;otu684;otu796;otu285;otu581;otu181;otu47;otu331;otu894;otu778;otu804;otu669;otu808;otu421;otu60;otu508;otu736;otu105;otu509;otu623;otu514;otu160;otu506;otu198;otu304;otu9;otu986;otu619;otu862;otu14;otu337;otu998;otu138;otu107;otu316;otu298;otu354;otu579;otu633;otu430;otu478;otu75;otu885;otu400;otu125;otu44;otu947;otu405;otu162;otu379;otu362;otu703;otu196;otu353;otu671;otu290;otu311;otu87;otu485;otu363;otu106;otu136;otu119;otu39;otu612;otu962;otu415;otu513;otu193;otu143;otu103;otu118;otu335;otu4;otu609
group4	0.1	otu638;otu931;otu967;otu265;otu199;otu599;otu446;otu135;otu834;otu720;otu646;otu814;otu302;otu799;otu659;otu361;otu665;otu348;otu896;otu451;otu137;otu209;otu582;otu368;otu341;otu336;otu170;otu416;otu252;otu277;otu980;otu394;otu487;otu216;otu916;otu89;otu697;otu924;otu327;otu666;otu434;otu342;otu288;otu385;otu90;otu157;otu133;otu258;otu173;otu780;otu963;otu854;otu578;otu783;otu690;otu580;otu79;otu233;otu812;otu190;otu636;otu536;otu788;otu960;otu525;otu444;otu691;otu468;otu205;otu360;otu639;otu349;otu1000;otu490;otu992;otu637;otu996;otu57;otu929;otu595;otu420;otu866;otu882;otu295;otu941;otu562;otu163;otu186;otu440;otu261;otu807;otu679;otu872;otu231;otu576;otu613;otu838;otu238;otu912;otu847
group5	0.1	otu977;otu19;otu518;otu843;otu62;otu407;otu887;otu586;otu584;otu242;otu441;otu460;otu859;otu590;otu696;otu871;otu561;otu839;otu91;otu695;otu974;otu845;otu94;otu970;otu706;otu176;otu954;otu325;otu200;otu538;otu81;otu301;otu245;otu83;otu663;otu805;otu142;otu148;otu401;otu667;otu504;otu700;otu422;otu453;otu291;otu24;otu312;otu8;otu33;otu933;otu7;otu833;otu893;otu373;otu755;otu187;otu712;otu207;otu246;otu234;otu381;otu836;otu108;otu526;otu930;otu738;otu391;otu605;otu842;otu206;otu351;otu51;otu355;otu949;otu279;otu332;otu296;otu369;otu328;otu714;otu627;otu647;otu500;otu760;otu74;otu966;otu318;otu751;otu616;otu932;otu177;otu545;otu698;otu685;otu299;otu375;otu881;otu542;otu447;otu212
group6	0.1	otu640;otu800;otu236;otu927;otu65;otu549;otu785;otu983;otu511;otu824;otu668;otu688;otu777;otu950;otu985;otu705;otu63;otu648;otu768;otu11;otu274;otu250;otu727;otu52;otu819;otu832;otu915;otu753;otu481;otu825;otu436;otu888;otu458;otu292;otu610;otu658;otu645;otu257;otu516;otu520;otu628;otu467;otu36;otu287;otu675;otu169;otu787;otu596;otu794;otu876;otu754;otu926;otu189;otu117;otu914;otu347;otu84;otu603;otu202;otu730;otu185;otu12;otu527;otu120;otu76;otu471;otu42;otu773;otu195;otu174;otu59;otu943;otu41;otu533;otu491;otu175;otu237;otu450;otu350;otu934;otu437;otu343;otu310;otu456;otu607;otu905;otu223;otu402;otu746;otu793;otu495;otu150;otu563;otu22;otu54;otu734;otu776;otu729;otu429;otu188
group7	0.1	otu132;otu717;otu371;otu486;otu577;otu964;otu802;otu957;otu267;otu352;otu766;otu909;otu457;otu953;otu598;otu531;otu791;otu548;otu575;otu127;otu284;otu559;otu475;otu510;otu707;otu45;otu191;otu972;otu892;otu830;otu10;otu534;otu797;otu784;otu131;otu975;otu323;otu322;otu677;otu409;otu653;otu505;otu297;otu324;otu403;otu869;otu46;otu798;otu276;otu256;otu459;otu419;otu724;otu474;otu555;otu211;otu523;otu855;otu921;otu383;otu822;otu748;otu439;otu396;otu411;otu210;otu744;otu283;otu587;otu903;otu449;otu99;otu617;otu880;otu165;otu571;otu574;otu877;otu305;otu661;otu789;otu134;otu146;otu393;otu687;otu569;otu883;otu151;otu172;otu981;otu27;otu749;otu66;otu334;otu68;otu410;otu600;otu340;otu43;otu473
group8	0.1	otu438;otu235;otu56;otu293;otu171;otu425;otu398;otu809;otu810;otu870;otu426;otu868;otu80;otu182;otu961;otu889;otu178;otu537;otu88;otu6;otu454;otu384;otu630;otu681;otu263;otu64;otu488;otu395;otu763;otu31;otu589;otu180;otu618;otu308;otu946;otu126;otu546;otu16;otu366;otu37;otu827;otu672;otu919;otu965;otu704;otu255;otu718;otu635;otu140;otu358;otu464;otu999;otu908;otu767;otu997;otu289;otu553;otu225;otu693;otu851;otu524;otu656;otu50;otu948;otu319;otu264;otu517;otu886;otu973;otu23;otu152;otu662;otu320;otu741;otu614;otu58;otu339;otu159;otu5;otu528;otu560;otu944;otu629;otu820;otu775;otu959;otu114;otu994;otu923;otu275;otu567;otu55;otu821;otu314;otu388;otu540;otu765;otu952;otu427;otu554
group9	0.1	otu951;otu317;otu710;otu72;otu204;otu380;otu376;otu462;otu984;otu530;otu828;otu321;otu221;otu228;otu918;otu111;otu73;otu692;otu711;otu550;otu708;otu728;otu988;otu102;otu683;otu945;otu154;otu786;otu268;otu392;otu626;otu220;otu329;otu38;otu130;otu608;otu938;otu112;otu82;otu860;otu858;otu166;otu214;otu101;otu676;otu806;otu815;otu158;otu901;otu502;otu144;otu907;otu846;otu499;otu565;otu993;otu770;otu483;otu128;otu433;otu863;otu382;otu853;otu129;otu521;otu522;otu98;otu790;otu48;otu878;otu840;otu2;otu507;otu861;otu356;otu21;otu564;otu281;otu156;otu895;otu286;otu40;otu1;otu476;otu333;otu344;otu982;otu649;otu306;otu139;otu123;otu417;otu241;otu149;otu230;otu622;otu110;otu501;otu625;otu632
group10	0.1	otu378;otu764;otu864;otu745;otu739;otu968;otu906;otu448;otu849;otu278;otu743;otu541;otu782;otu935;otu377;otu631;otu184;otu660;otu77;otu535;otu20;otu168;otu194;otu547;otu28;otu35;otu606;otu752;otu694;otu92;otu890;otu591;otu463;otu266;otu496;otu620;otu303;otu498;otu109;otu70;otu465;otu655;otu761;otu489;otu813;otu408;otu702;otu364;otu404;otu219;otu826;otu731;otu654;otu69;otu913;otu218;otu227;otu937;otu224;otu254;otu585;otu78;otu701;otu307;otu345;otu715;otu370;otu721;otu183;otu179;otu583;otu71;otu544;otu423;otu294;otu145;otu121;otu723;otu837;otu817;otu484;otu732;otu823;otu716;otu551;otu759;otu865;otu990;otu86;otu229;otu26;otu686;otu898;otu543;otu213;otu987;otu435;otu469;otu713;otu634
1000		
