Core	Average	Leaves
group1	0.194	otu161;otu925;otu423;otu646;otu600;otu77;otu122;otu61;otu601;otu33;otu243;otu501;otu211;otu356;otu953;otu392;otu250;otu875;otu950;otu885;otu436;otu47;otu830;otu559;otu260;otu741;otu408;otu560;otu466;otu664;otu467;otu908;otu471;otu849;otu2;otu642;otu798;otu718;otu245;otu268;otu845;otu630;otu81;otu509;otu233;otu947;otu519;otu242;otu576;otu813;otu190;otu67;otu521;otu862;otu824;otu13;otu314;otu45;otu344;otu101;otu149;otu658;otu994;otu545;otu636;otu850;otu628;otu215;otu738;otu906;otu496;otu943;otu19;otu661;otu46;otu8;otu418;otu537;otu407;otu485;otu562;otu71;otu711;otu7;otu327;otu939;otu802;otu132;otu584;otu724;otu944;otu42;otu360;otu564;otu870;otu916;otu153;otu827;otu512;otu774
group2	0.048	otu372;otu192;otu789;otu197;otu300;otu750;otu480;otu625;otu877;otu612;otu915;otu682;otu20;otu109;otu128;otu347;otu24;otu435;otu491;otu508;otu214;otu988;otu135;otu11;otu995;otu362;otu112;otu513;otu637;otu78;otu940;otu51;otu261;otu68;otu414;otu188;otu355;otu920;otu511;otu195;otu662;otu570;otu790;otu684;otu854;otu983;otu15;otu857;otu605;otu520;otu346;otu791;otu694;otu929;otu76;otu613;otu659;otu805;otu227;otu528;otu437;otu335;otu715;otu375;otu966;otu176;otu234;otu16;otu687;otu793;otu433;otu874;otu574;otu668;otu934;otu59;otu581;otu18;otu960;otu439;otu510;otu577;otu289;otu919;otu238;otu70;otu800;otu63;otu525;otu74;otu726;otu406;otu539;otu541;otu262;otu781;otu404;otu989;otu861;otu667
group3	0.071	otu914;otu221;otu378;otu224;otu978;otu833;otu402;otu527;otu102;otu814;otu500;otu114;otu143;otu388;otu879;otu935;otu926;otu609;otu546;otu680;otu573;otu298;otu21;otu280;otu785;otu894;otu634;otu809;otu606;otu569;otu578;otu174;otu241;otu753;otu415;otu443;otu740;otu359;otu166;otu987;otu779;otu219;otu730;otu502;otu820;otu572;otu184;otu817;otu949;otu710;otu248;otu29;otu700;otu9;otu488;otu493;otu286;otu297;otu686;otu656;otu255;otu438;otu948;otu911;otu35;otu52;otu648;otu322;otu86;otu142;otu80;otu973;otu882;otu626;otu745;otu773;otu273;otu754;otu633;otu30;otu487;otu405;otu253;otu134;otu345;otu104;otu597;otu707;otu60;otu426;otu125;otu129;otu977;otu589;otu942;otu350;otu379;otu363;otu907;otu3
group4	0.056	otu844;otu490;otu848;otu557;otu281;otu788;otu5;otu110;otu993;otu422;otu615;otu660;otu902;otu393;otu719;otu617;otu610;otu285;otu755;otu611;otu409;otu690;otu618;otu776;otu811;otu640;otu475;otu703;otu818;otu400;otu187;otu507;otu232;otu482;otu147;otu139;otu100;otu44;otu277;otu763;otu554;otu310;otu506;otu503;otu91;otu140;otu974;otu178;otu444;otu847;otu445;otu683;otu73;otu397;otu834;otu551;otu954;otu97;otu478;otu119;otu529;otu858;otu203;otu981;otu185;otu183;otu991;otu561;otu299;otu588;otu868;otu676;otu249;otu910;otu449;otu258;otu614;otu4;otu538;otu383;otu446;otu349;otu464;otu999;otu337;otu599;otu265;otu381;otu685;otu887;otu594;otu566;otu198;otu912;otu456;otu801;otu254;otu459;otu84;otu17
group5	0.095	otu240;otu952;otu758;otu49;otu831;otu465;otu649;otu752;otu728;otu191;otu815;otu962;otu230;otu296;otu832;otu305;otu985;otu563;otu31;otu607;otu996;otu228;otu217;otu751;otu731;otu767;otu775;otu216;otu448;otu175;otu901;otu568;otu398;otu370;otu860;otu933;otu121;otu484;otu998;otu957;otu619;otu821;otu799;otu413;otu692;otu838;otu927;otu94;otu155;otu111;otu945;otu764;otu287;otu837;otu220;otu225;otu283;otu897;otu655;otu722;otu186;otu891;otu792;otu368;otu699;otu783;otu812;otu207;otu903;otu353;otu469;otu530;otu312;otu457;otu461;otu118;otu565;otu391;otu373;otu206;otu780;otu458;otu204;otu90;otu631;otu36;otu542;otu629;otu688;otu315;otu898;otu357;otu705;otu499;otu761;otu343;otu965;otu742;otu396;otu288
group6	0.052	otu723;otu425;otu946;otu964;otu336;otu969;otu483;otu333;otu377;otu319;otu517;otu586;otu163;otu553;otu890;otu328;otu428;otu301;otu1000;otu460;otu748;otu674;otu835;otu582;otu442;otu923;otu130;otu544;otu681;otu971;otu552;otu251;otu451;otu291;otu64;otu883;otu889;otu412;otu759;otu351;otu205;otu808;otu654;otu737;otu361;otu641;otu66;otu778;otu691;otu57;otu266;otu721;otu896;otu385;otu708;otu760;otu156;otu622;otu257;otu151;otu202;otu272;otu144;otu173;otu869;otu309;otu695;otu720;otu454;otu735;otu39;otu450;otu986;otu113;otu580;otu829;otu252;otu120;otu937;otu210;otu434;otu126;otu904;otu421;otu909;otu608;otu386;otu806;otu836;otu330;otu411;otu440;otu332;otu852;otu932;otu819;otu10;otu158;otu623;otu982
group7	0.168	otu853;otu905;otu669;otu32;otu55;otu673;otu980;otu294;otu632;otu645;otu651;otu271;otu762;otu855;otu492;otu479;otu290;otu922;otu505;otu340;otu367;otu93;otu807;otu6;otu938;otu371;otu354;otu650;otu777;otu376;otu736;otu770;otu54;otu83;otu115;otu182;otu765;otu579;otu164;otu96;otu534;otu621;otu387;otu498;otu864;otu25;otu702;otu472;otu979;otu657;otu62;otu284;otu325;otu162;otu851;otu895;otu531;otu900;otu733;otu56;otu169;otu380;otu888;otu590;otu744;otu856;otu635;otu256;otu846;otu571;otu453;otu930;otu338;otu972;otu495;otu208;otu98;otu339;otu366;otu663;otu306;otu416;otu595;otu497;otu48;otu308;otu871;otu873;otu665;otu803;otu88;otu591;otu924;otu567;otu246;otu859;otu239;otu342;otu226;otu85
group8	0.135	otu27;otu329;otu124;otu292;otu199;otu526;otu865;otu486;otu825;otu652;otu218;otu899;otu1;otu548;otu323;otu968;otu585;otu727;otu82;otu816;otu138;otu293;otu14;otu784;otu167;otu558;otu127;otu693;otu876;otu222;otu840;otu795;otu481;otu447;otu369;otu181;otu324;otu229;otu714;otu270;otu452;otu679;otu200;otu313;otu828;otu247;otu395;otu474;otu279;otu374;otu401;otu22;otu157;otu468;otu716;otu992;otu307;otu72;otu936;otu843;otu514;otu672;otu794;otu709;otu771;otu274;otu410;otu878;otu787;otu533;otu326;otu518;otu269;otu235;otu12;otu295;otu596;otu959;otu598;otu259;otu880;otu455;otu772;otu165;otu555;otu967;otu38;otu177;otu712;otu427;otu884;otu79;otu303;otu462;otu522;otu152;otu107;otu644;otu881;otu604
group9	0.08	otu34;otu172;otu494;otu470;otu549;otu842;otu768;otu267;otu92;otu420;otu231;otu476;otu704;otu489;otu675;otu99;otu168;otu749;otu698;otu40;otu384;otu575;otu732;otu304;otu131;otu341;otu237;otu997;otu419;otu50;otu921;otu53;otu713;otu734;otu399;otu141;otu556;otu223;otu69;otu892;otu212;otu976;otu963;otu643;otu913;otu706;otu137;otu106;otu320;otu41;otu536;otu316;otu429;otu866;otu583;otu331;otu918;otu886;otu970;otu810;otu826;otu441;otu189;otu170;otu417;otu394;otu194;otu523;otu95;otu150;otu975;otu209;otu839;otu477;otu603;otu364;otu689;otu321;otu179;otu382;otu593;otu931;otu463;otu196;otu133;otu108;otu747;otu743;otu620;otu275;otu87;otu318;otu123;otu696;otu729;otu697;otu990;otu616;otu822;otu160
group10	0.102	otu317;otu863;otu701;otu796;otu180;otu424;otu65;otu766;otu352;otu263;otu431;otu103;otu116;otu602;otu540;otu430;otu917;otu804;otu75;otu955;otu867;otu145;otu797;otu278;otu105;otu893;otu504;otu282;otu403;otu746;otu725;otu984;otu550;otu547;otu264;otu653;otu201;otu334;otu786;otu524;otu311;otu958;otu739;otu365;otu670;otu928;otu28;otu627;otu89;otu276;otu43;otu543;otu638;otu823;otu535;otu26;otu941;otu58;otu193;otu671;otu23;otu951;otu159;otu302;otu757;otu389;otu769;otu516;otu782;otu358;otu348;otu37;otu956;otu841;otu677;otu146;otu587;otu390;otu171;otu148;otu117;otu639;otu961;otu756;otu473;otu136;otu532;otu592;otu666;otu244;otu624;otu717;otu432;otu213;otu236;otu678;otu872;otu515;otu647;otu154
1000		
