Core	Average	Leaves
group1	0.010774833079334049	otu59;otu60;otu2;otu54
group2	0.00641825863404763	otu35;otu98;otu74;otu85
group3	0.020474411748450674	otu41;otu91;otu95;otu20
group4	0.0135269963845596	otu67;otu5;otu65;otu69
group5	0.009043737804321906	otu68;otu32;otu25;otu17
group6	0.12064801653869653	otu89;otu21;otu58;otu64
group7	0.029047160875221713	otu15;otu13;otu26;otu36
group8	0.05786573671991776	otu44;otu16;otu83;otu18
group9	0.014577556474646994	otu9;otu82;otu27;otu78
group10	0.08036958974061474	otu72;otu39;otu49;otu52
group11	0.09918924386002483	otu40;otu61;otu99;otu29
group12	0.03136927453450469	otu76;otu50;otu3;otu4
group13	0.01205116408242096	otu75;otu51;otu6;otu80
group14	0.01065427981526101	otu34;otu92;otu23;otu71
group15	0.01858740119594432	otu43;otu81;otu70;otu79
group16	0.07934894060433219	otu45;otu63;otu38;otu42
group17	0.1449288154758117	otu86;otu90;otu47;otu24
group18	0.09390852090027643	otu97;otu48;otu55;otu57
group19	0.00678286561917123	otu14;otu96;otu22;otu53
group20	0.003289681769320968	otu8;otu73;otu19;otu66
group21	0.010447032110504975	otu37;otu7;otu33;otu87
group22	0.024296534987857516	otu12;otu77;otu100;otu93
group23	0.05990396391131046	otu46;otu11;otu10;otu28
group24	0.02635130357435903	otu1;otu94;otu62;otu56
group25	0.016144679559087976	otu84;otu30;otu31;otu88
100		
