Core	Average	Leaves
group1	0.3	otu81;otu36;otu18;otu46;otu72;otu92;otu52;otu56;otu94;otu77
group2	0.2	otu59;otu54;otu61;otu97;otu90;otu10;otu100;otu16;otu23;otu51
group3	0.15	otu75;otu14;otu43;otu3;otu65;otu20;otu88;otu64;otu11;otu86
group4	0.1	otu7;otu73;otu93;otu45;otu78;otu98;otu28;otu74;otu79;otu25
group5	0.085	otu53;otu91;otu48;otu39;otu6;otu38;otu22;otu89;otu95;otu87
group6	0.06	otu57;otu71;otu85;otu68;otu58;otu60;otu37;otu19;otu24;otu50
group7	0.05	otu66;otu83;otu26;otu69;otu29;otu8;otu5;otu70;otu96;otu76
group8	0.035	otu32;otu27;otu21;otu82;otu30;otu49;otu9;otu47;otu62;otu4
group9	0.015	otu17;otu40;otu44;otu67;otu63;otu31;otu84;otu12;otu2;otu80
group10	0.005	otu13;otu1;otu55;otu42;otu35;otu15;otu41;otu99;otu33;otu34
100		
