Core	Average	Leaves
group1	0.3	otu7;otu35;otu12;otu99;otu53;otu14;otu5;otu49;otu69;otu72
group2	0.2	otu48;otu50;otu9;otu25;otu22;otu81;otu100;otu37;otu1;otu63
group3	0.15	otu18;otu95;otu64;otu15;otu2;otu55;otu75;otu20;otu10;otu98
group4	0.12	otu32;otu30;otu6;otu58;otu82;otu88;otu52;otu46;otu79;otu94
group5	0.09	otu84;otu38;otu40;otu60;otu86;otu56;otu28;otu87;otu67;otu70
group6	0.07	otu68;otu74;otu42;otu3;otu51;otu83;otu66;otu57;otu71;otu80
group7	0.04	otu96;otu78;otu89;otu62;otu54;otu85;otu11;otu27;otu17;otu76
group8	0.02	otu41;otu61;otu26;otu21;otu31;otu90;otu44;otu34;otu13;otu39
group9	0.009	otu59;otu93;otu45;otu4;otu29;otu43;otu8;otu92;otu24;otu91
group10	0.001	otu47;otu33;otu65;otu36;otu73;otu16;otu23;otu19;otu97;otu77
100		
