""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	"28"	"29"	"30"
"otu1"	410	90	524	179	248	143	305	169	3704	909	5075	477	115	1953	960	3974	841	385	296	574	2095	233	1025	3300	848	449	1873	784	515	203
"otu10"	461	1517	2314	3179	563	166	268	1505	115	748	693	730	46	173	806	1002	2870	3087	1776	1189	1316	1936	5528	324	1111	2287	932	114	2371	1047
"otu2"	773	210	3645	384	1019	703	3274	1211	61	1801	662	885	2710	324	1058	1266	866	2654	1562	1796	113	1388	205	1075	787	493	275	568	1403	1319
"otu3"	1167	915	744	206	954	891	1377	127	114	1796	103	114	60	647	575	73	404	133	1004	122	300	1201	272	298	388	1352	2197	265	277	383
"otu4"	1727	471	276	393	680	2543	749	856	321	2636	265	646	1080	488	1808	629	555	912	221	2280	3345	344	245	447	1378	2378	789	238	370	2334
"otu5"	1987	610	1028	361	1850	914	620	314	938	277	71	883	1349	232	298	166	567	739	637	117	1252	630	738	1193	473	1323	394	3425	1408	739
"otu6"	526	2430	66	2600	3581	558	423	169	1643	741	1245	1135	538	764	1123	1384	1022	189	726	1634	339	1835	57	295	130	592	290	1145	484	418
"otu7"	2531	1049	271	597	213	1567	410	4767	217	501	305	671	514	872	391	133	1712	212	2393	401	112	780	828	1467	2205	254	1760	481	1985	752
"otu8"	252	2404	613	1786	640	461	874	827	137	358	932	537	2908	3677	420	1211	529	315	467	1349	641	259	164	678	2230	398	1017	2471	475	2443
"otu9"	166	304	519	315	252	2054	1700	55	2750	233	649	3922	680	870	2561	162	634	1374	918	538	487	1394	938	923	450	474	473	509	712	362
