""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	"28"	"29"	"30"
"otu1"	114222	8936	37227	172705	46149	20688	212205	23220	85159	77654	196479	37563	14361	98821	182031	443118	25369	125255	50583	15272	292717	57339	208659	81072	37008	127482	145428	260690	92533	28712
"otu10"	202347	209894	143699	209559	531022	76405	193508	20560	19122	41859	79864	296999	73049	37652	63315	21414	25439	90619	385681	245021	57240	437323	254740	62571	33219	101126	28223	10719	65158	163953
"otu2"	50114	22866	102975	138379	12190	55485	33220	88466	43727	392731	18623	130590	187587	24595	51138	57800	110686	17676	34591	80738	22490	116261	105876	69437	43813	111423	66270	135982	66014	54265
"otu3"	90839	61564	25843	84438	97608	57917	196759	30138	73120	47960	75653	10172	126453	164375	197304	5521	237353	14559	19065	32282	110110	22743	19288	84901	162157	129245	16984	74519	176956	67640
"otu4"	75491	130937	101415	53518	31167	194619	88449	123508	2433	133033	170171	22791	57097	251274	32018	198522	22494	112847	206649	36481	44668	93574	56432	20012	260427	96392	434980	65347	62613	317741
"otu5"	71643	153366	67620	32751	39367	41889	43900	155826	155875	117370	151598	100488	64687	158742	250918	99709	71137	347469	66413	245793	21598	108774	35493	46571	176796	222688	11326	88807	102432	163483
"otu6"	61649	40820	22305	67432	142554	43104	71909	182529	28272	56392	130261	86640	13947	77154	90699	15421	365031	31285	13109	95158	176127	39084	26748	49313	80676	24063	231561	154898	152589	39007
"otu7"	51113	219415	48284	119139	34251	105891	48923	156172	9753	89984	11110	157292	64925	69682	58073	24638	16671	43158	157032	136980	121967	10566	130628	106252	131142	111123	21816	38579	136786	141580
"otu8"	58771	144269	232573	104770	56065	147456	59807	127066	449066	11061	124008	100250	328249	75974	13407	23940	78774	88005	26607	34439	10583	55262	151524	319407	33564	63229	41567	153159	92348	9529
"otu9"	223811	7933	218059	17309	9627	256546	51320	92515	133473	31956	42233	57215	69645	41731	61097	109917	47046	129127	40270	77836	142500	59074	10612	160464	41198	13229	1845	17300	52571	14090
