""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	"28"	"29"	"30"
"otu1"	99599	99898	99589	99771	100018	99889	99478	100312	99681	100281	100005	99808	100008	99591	99679	99698	99647	99721	99976	100092	100308	99935	99774	100220	99855	100063	99956	99892	99899	99686
"otu10"	99868	100044	100126	99653	100093	99821	100570	99989	99773	99602	99783	100002	99929	99997	100241	100154	100267	100107	99611	99664	99952	99548	100016	99606	99881	99805	100362	99881	99772	99762
"otu2"	100278	99924	100535	100048	100230	100085	99446	99811	99847	100208	99962	100290	99778	99851	99525	99747	99674	99905	99863	100167	99763	100479	99785	99574	100336	99217	99937	98961	99832	99778
"otu3"	99902	99907	100189	100809	99898	100333	100453	100067	100335	100138	100081	100076	100068	100767	99896	99943	100229	100083	100034	100021	99838	100245	100172	100014	99930	100279	100179	100374	100236	100428
"otu4"	100184	99729	99920	99991	99301	100115	100029	99603	100399	100374	99983	100300	100231	99927	100401	100226	100200	100736	99812	100095	99698	99676	100116	99711	100020	100365	100277	99891	100059	100141
"otu5"	99815	100604	100038	99890	99877	99948	99708	99825	100358	100477	100403	99581	99937	99725	99718	100070	99988	99785	100149	99909	100197	99702	100093	100463	100137	100358	100078	100393	100149	100164
"otu6"	99711	99798	99482	100264	99855	100094	99964	99547	99871	99798	99888	99802	99708	100255	100127	99630	100291	100062	100427	99962	100035	100066	99786	100162	100053	100185	99754	100468	99753	100135
"otu7"	100147	100306	99860	100335	99987	100122	99867	100378	99775	100024	100102	99898	100240	99867	100274	100045	100006	99803	100177	99628	99730	99946	100001	99918	99426	99567	99500	99988	99941	100057
"otu8"	100531	99389	99889	99648	100636	100170	100205	100318	99664	99532	100191	100267	99655	99593	99876	100492	99844	100091	100120	100171	100021	100356	100165	100215	99936	99904	99719	99822	100369	99705
"otu9"	99965	100401	100372	99591	100105	99423	100280	100150	100297	99566	99602	99976	100446	100427	100263	99995	99854	99707	99831	100291	100458	100047	100092	100117	100426	100257	100238	100330	99990	100144
