"dilfactor","Interaction_presence","Interaction_value","Interaction_sign","Mutual_interactions","Number of iterations","Number of dilution cycles","Fixation_threshold","group_success_rate","success_rate","shannons","group_extinctions"
0.1,1,1,1,FALSE,100,200,0.5,"0;0;0",0,"3.48693195240369;3.48689668390067;3.51687770929708","0;0;0"
0.1,0.1,1,1,FALSE,100,200,0.5,"0;0;0",0,"3.28799253030964;3.28754560111513;3.3177752258522","0;0;0"
0.1,0.01,1,1,FALSE,100,200,0.5,"1;0.98;0.98",0.97,"0.786879752296977;0.816668347187646;0.858580628576998","0;0;0"
0.1,0.1,1,-1,FALSE,100,200,0.5,"1;1;1",1,"0.862176613109221;0.777510768574707;1.04759368375925","0;0;0"
0.1,0.01,1,-1,FALSE,100,200,0.5,"0.94;0.92;0.92",0.83,"0.932157552036971;0.952166155459867;0.994581334520188","0;0;0"
0.1,1,1,2,FALSE,100,200,0.5,"0;0;0",0,"2.55040547012508;2.57752168091345;2.58507768137607","0;0;0"
0.1,0.1,1,2,FALSE,100,200,0.5,"0.08;0.07;0.08",0.06,"2.02542890933067;2.01403706108701;1.97170839973527","0;0;0"
0.1,0.01,1,2,FALSE,100,200,0.5,"0.99;0.99;1",0.98,"0.792238491403527;0.747161648416058;0.753799914275216","0;0;0"
0.1,1,0.1,1,FALSE,100,200,0.5,"0;0;0",0,"3.48534456626912;3.48565651683729;3.5144943233883","0;0;0"
0.1,0.1,0.1,1,FALSE,100,200,0.5,"0;0;0",0,"3.25510507245875;3.25673248830805;3.28117817550819","0;0;0"
0.1,0.01,0.1,1,FALSE,100,200,0.5,"0.97;0.99;0.99",0.97,"0.949459032812989;0.84037353121833;0.758223776699615","0;0;0"
0.1,1,0.1,-1,FALSE,100,200,0.5,"0.98;0.99;0.99",0.96,"0.424873443858561;0.516940171818777;0.533642777057113","0.02;0.01;0.01"
0.1,0.1,0.1,-1,FALSE,100,200,0.5,"0.97;0.98;0.99",0.96,"0.906443798618735;0.897260364016032;1.01883513715222","0;0;0"
0.1,0.01,0.1,-1,FALSE,100,200,0.5,"0.93;0.94;0.94",0.84,"0.906340795173017;0.963865141339675;0.903876021818366","0;0;0"
0.1,1,0.1,2,FALSE,100,200,0.5,"0;0;0",0,"2.55449514630273;2.55839435032802;2.55237273022778","0;0;0"
0.1,0.1,0.1,2,FALSE,100,200,0.5,"0.08;0.09;0.1",0.07,"1.9786853572578;1.98418663549258;1.9845832708227","0;0;0"
0.1,0.01,0.1,2,FALSE,100,200,0.5,"0.99;1;0.97",0.96,"0.80097646010904;0.771991397319276;0.842915383686052","0;0;0"
0.1,1,0.01,1,FALSE,100,200,0.5,"0;0;0",0,"3.45771438644909;3.45613847386767;3.48567230873228","0;0;0"
0.1,0.1,0.01,1,FALSE,100,200,0.5,"0;0;0",0,"2.91606168943143;2.90928418852922;2.93674280631737","0;0;0"
0.1,0.01,0.01,1,FALSE,100,200,0.5,"0.86;0.86;0.88",0.73,"0.947463811918005;1.02015293492323;0.968725121806905","0;0;0"
0.1,1,0.01,-1,FALSE,100,200,0.5,"1;1;1",1,"0.801720378772847;0.703550680478486;0.888571188395851","0;0;0"
0.1,0.1,0.01,-1,FALSE,100,200,0.5,"0.96;0.98;0.96",0.92,"0.918678183273511;0.891441676079777;0.873926843911479","0;0;0"
0.1,0.01,0.01,-1,FALSE,100,200,0.5,"0.93;0.94;0.9",0.83,"0.944328044635938;0.907204923149455;1.00734988361972","0;0;0"
0.1,1,0.01,2,FALSE,100,200,0.5,"0;0;0",0,"2.46862307658722;2.46730285231199;2.48712159067227","0;0;0"
0.1,0.1,0.01,2,FALSE,100,200,0.5,"0.05;0.05;0.06",0.01,"1.92597683562379;1.94108176536579;1.92964927094068","0;0;0"
0.1,0.01,0.01,2,FALSE,100,200,0.5,"0.95;0.92;0.89",0.83,"0.95308861559676;0.940363294662177;0.9859914778407","0;0;0"
0.1,1,0.001,1,FALSE,100,200,0.5,"0;0;0",0,"3.14247077030832;3.1340352125986;3.16541724319674","0;0;0"
0.1,0.1,0.001,1,FALSE,100,200,0.5,"0.15;0.21;0.17",0.06,"1.71965062795972;1.70188106071129;1.74642234553897","0;0;0"
