"dilfactor","Interaction_presence","Interaction_value","Interaction_sign","Mutual_interactions","Number of iterations","Number of dilution cycles","Fixation_threshold","group_success_rate","success_rate","shannons","group_extinctions"
0.05,1,1,1,FALSE,100,200,0.5,"1;0;0;0;1;1;1;1;0.14;0",0,"0.692996081268565;0;1.28253312280305;1.54927452762447;0.00781579757012249;0;0;1.0161217979683;1.04660914725135;0","0;1;0;0;0;0;0;0;0;1"
0.05,0.1,1,1,FALSE,100,200,0.5,"0.97;0;0.81;0.78;1;1;1;0.95;0.8;0",0,"0.293760985049502;0;0.600701474167101;0.570113246522873;0.026568528442679;0.0311174968405907;0;0.301247094445956;0.459136897055323;0","0;1;0;0;0;0;0;0;0.01;1"
0.05,0.01,1,1,FALSE,100,200,0.5,"0.99;0.01;1;1;1;1;1;1;0.96;0.01",0.01,"0.161019781874447;0;0.0982505443329112;0.0580770423986117;0.0404353432760751;0.0299070884996901;0.0213700215874667;0.0214216067921091;0.032224785296922;0.00273308098213545","0;0.99;0;0;0;0;0;0;0.03;0.99"
0.05,1,1,-1,FALSE,100,200,0.5,"0.97;0.02;0.02;0.05;0.02;0.02;0.02;0.02;0.02;0.02",0.02,"4.09092402436057e-05;0.00673011667009257;0.00693147180559945;0.0189302748869275;0.012130075659799;0.00693147180559945;0.0132966134885476;0.0103972077083992;0.0103972077083992;0","0.03;0.98;0.98;0.95;0.98;0.98;0.98;0.98;0.98;0.98"
0.05,0.1,1,-1,FALSE,100,200,0.5,"1;0.27;0.87;0.94;1;0.86;0.96;0.99;0.72;0.3",0.27,"0.11559215331435;0.120259078080044;0.057228031925479;0.0918536723819738;0.208466966099591;0.095065923807378;0.11995955622158;0.147905335778889;0.0459048512832659;0.0857728051709946","0;0.73;0.13;0.06;0;0.14;0.04;0.01;0.28;0.7"
0.05,0.01,1,-1,FALSE,100,200,0.5,"0.99;0;1;1;1;1;1;1;0.99;0",0,"0.15441025177988;0;0.0750411856254133;0.0523753400810157;0.0181230585011548;0;0;0;0;0","0;1;0;0;0;0;0;0;0.01;1"
0.05,1,1,2,FALSE,100,200,0.5,"0.82;0;0.61;0.58;0.87;0.81;0.87;0.79;0.51;0",0,"0.566947653665809;0;0.8931635976152;0.77307689727559;0.343530770613355;0.392054930748955;0.225322320198516;0.362114005041568;0.926460959075331;0","0;1;0;0.02;0.02;0.08;0.1;0.14;0.03;1"
0.05,0.1,1,2,FALSE,100,200,0.5,"0.97;0.01;0.88;0.94;0.99;0.99;0.99;0.93;0.88;0.01",0.01,"0.202957424240646;0.00636514168294813;0.362913787494897;0.329657930605625;0.0647568763492149;0.0845369390043372;0.0788658519267953;0.128182854157899;0.389012931817847;0.00636514168294813","0;0.99;0;0;0;0;0;0.05;0.03;0.99"
0.05,0.01,1,2,FALSE,100,200,0.5,"1;0;1;1;1;1;1;0.99;0.99;0",0,"0.147589214645171;0;0.084423040362672;0.0230732336381099;0.0284678759900766;0.0116865080283299;0.00381218702559447;0;0;0","0;1;0;0;0;0;0;0.01;0.01;1"
0.05,1,0.1,1,FALSE,100,200,0.5,"1;0;0;0;1;1;1;0.97;0.12;0",0,"0.691719133463355;0;1.28245866894145;1.54776242111507;0.160514057653618;0;0;1.01775246460189;1.11552560387911;0","0;1;0;0;0;0;0;0;0;1"
0.05,0.1,0.1,1,FALSE,100,200,0.5,"0.95;0;0.78;0.78;1;1;1;0.95;0.78;0",0,"0.365928455341593;0;0.6425096703866;0.647385676447314;0.0497976948945145;0.0690014703122284;0.0126580111851284;0.372245427521476;0.549034427845354;0","0;1;0;0;0;0;0;0;0.01;1"
0.05,0.01,0.1,1,FALSE,100,200,0.5,"1;0;0.99;1;1;1;1;1;0.99;0",0,"0.188888329313572;0;0.0998018241286946;0.036347280662035;0.042497588805306;0.0295201113741499;0.00686716444201275;0.0336736388841545;0.0238664958445578;0","0;1;0;0;0;0;0;0;0.01;1"
0.05,1,0.1,-1,FALSE,100,200,0.5,"1;0.26;0.89;1;0.97;0.33;0.26;0.26;0.26;0.26",0.26,"0.00102741510921563;0.0856332003506444;0.00786554444889336;0.00261573841993886;0.00457928769505057;0.0334689682950065;0.127407223288593;0.0278107083451565;0.117812761597903;0.110206928764092","0;0.74;0.11;0;0.03;0.67;0.74;0.74;0.74;0.74"
0.05,0.1,0.1,-1,FALSE,100,200,0.5,"1;0;1;1;1;1;1;1;0.96;0",0,"0.0850471335563158;0;0.0830441558935387;0.0438820005307397;0.0105520717222588;0.00691814642679268;0;0;0;0","0;1;0;0;0;0;0;0;0.04;1"
0.05,0.01,0.1,-1,FALSE,100,200,0.5,"1;0;1;1;1;1;1;1;1;0",0,"0.161864655215848;0;0.108431267654934;0.043467380143978;0.0128638289041009;0.00864900817654424;0.00502723521427478;0;0;0","0;1;0;0;0;0;0;0;0;1"
0.05,1,0.1,2,FALSE,100,200,0.5,"0.85;0;0.53;0.72;0.88;0.91;0.94;0.92;0.42;0",0,"0.559900466216558;0;0.9496540586179;0.792875459187626;0.375410554522421;0.378162661932297;0.223310773120325;0.399528704257268;1.01540092088517;0","0;1;0;0;0;0;0;0.01;0.01;1"
0.05,0.1,0.1,2,FALSE,100,200,0.5,"0.93;0;0.89;0.93;0.96;0.98;0.98;0.97;0.84;0",0,"0.299901086929806;0;0.407825969956744;0.296673333448946;0.128050953155343;0.118782418467249;0.0911178775046075;0.109221097384039;0.363551502223512;0","0;1;0;0;0;0;0;0;0.03;1"
0.05,0.01,0.1,2,FALSE,100,200,0.5,"1;0;1;1;1;1;1;1;0.98;0",0,"0.21342284668477;0;0.0873410530732946;0.0677745265668028;0.0238154789810418;0.0117467049391215;0;0.0048941756966614;0.023639437720879;0","0;1;0;0;0;0;0;0;0.01;1"
0.05,1,0.01,1,FALSE,100,200,0.5,"0.99;0;0.02;0;0.99;1;1;0.66;0.28;0",0,"0.679638205615189;0;1.25991818498881;1.52693279639612;0.143561565852063;0.0136428186700229;0.00152414547737714;1.00341081537407;1.14868213262397;0","0;1;0;0;0;0;0;0;0;1"
0.05,0.1,0.01,1,FALSE,100,200,0.5,"0.87;0;0.59;0.63;0.94;0.94;0.97;0.91;0.67;0",0,"0.681494886128371;0;0.915542222037429;0.875131071605972;0.320245167935434;0.302288460861258;0.171721785774674;0.431199139663668;0.879531858932735;0","0;1;0;0;0;0;0;0;0;1"
0.05,0.01,0.01,1,FALSE,100,200,0.5,"0.98;0;1;0.99;1;1;1;1;1;0",0,"0.236117956527591;0;0.131019719278044;0.0860590210940562;0.0436460888988172;0.00814506220111741;0.0304899307114217;0.00687839339928734;0.020963221145832;0","0;1;0;0;0;0;0;0;0;1"
0.05,1,0.01,-1,FALSE,100,200,0.5,"1;0.06;1;1;1;1;1;1;0.4;0.06",0.06,"0.0475295074845922;0.020228085294147;0.0488943469368358;0.0340074455976924;0.0547906296446069;0.0261725644947077;0.0299648398679862;0.0213193632448129;0.00431791368762901;0.00844942134859233","0;0.94;0;0;0;0;0;0;0.6;0.94"
0.05,0.1,0.01,-1,FALSE,100,200,0.5,"1;0;1;1;1;1;1;1;0.99;0",0,"0.162658716618947;0;0.117930437296826;0.0523143264075965;0.00644367463790884;0;0.00691882641957754;0;0;0","0;1;0;0;0;0;0;0;0.01;1"
0.05,0.01,0.01,-1,FALSE,100,200,0.5,"0.99;0;1;1;1;1;1;1;0.99;0",0,"0.252724893071644;0;0.13922383306843;0.0274873793498748;0.0261067959474585;0.00651339780924068;0;0;0;0","0;1;0;0;0;0;0;0;0.01;1"
0.05,1,0.01,2,FALSE,100,200,0.5,"0.72;0;0.54;0.66;0.82;0.85;0.85;0.92;0.45;0",0,"0.81296400288759;0;0.972866149878805;0.814049365469843;0.600923740108892;0.562162877580475;0.477896695383827;0.4918995733356;1.08375807290696;0","0;1;0;0;0;0;0;0;0.01;1"
0.05,0.1,0.01,2,FALSE,100,200,0.5,"0.89;0;0.86;0.9;0.97;0.99;1;0.95;0.83;0",0,"0.482951673189269;0;0.517700024931737;0.445053231560097;0.218610321041844;0.227902198430308;0.141926680990073;0.263750608704674;0.486659532874469;0","0;1;0;0;0;0;0;0;0;1"
0.05,0.01,0.01,2,FALSE,100,200,0.5,"0.98;0;1;1;1;1;1;1;0.98;0",0,"0.230020768099706;0;0.160615843587071;0.0444188473489904;0.0310053450296065;0.0225848734974026;0;0;0.00643189472245086;0","0;1;0;0;0;0;0;0;0.02;1"
0.05,1,0.001,1,FALSE,100,200,0.5,"0.54;0;0.22;0.2;0.75;0.78;0.88;0.63;0.17;0",0,"1.01052044342729;0;1.38776203011676;1.39157189348168;0.759368772757668;0.715966946638747;0.530251632823683;0.978973429714676;1.5456498086948;0","0;1;0;0;0;0;0;0;0.01;1"
0.05,0.1,0.001,1,FALSE,100,200,0.5,"0.88;0;0.9;0.85;0.92;0.96;0.96;0.94;0.79;0",0,"0.570266610236395;0;0.639276951802406;0.640379211861157;0.451780396993458;0.336871198492351;0.349051783604647;0.480578591097084;0.669905120017292;0","0;1;0;0;0;0;0;0;0.03;1"
0.05,0.01,0.001,1,FALSE,100,200,0.5,"0.99;0;0.99;1;1;1;0.99;1;0.98;0",0,"0.263646534614123;0;0.22361416857457;0.157514100789076;0.0672997782462878;0.0441794427724719;0.0399174196711078;0.0308294578583935;0.0234397099384026;0","0;1;0;0;0;0;0;0;0.02;1"
0.05,1,0.001,-1,FALSE,100,200,0.5,"0.99;0;1;1;1;1;1;1;1;0",0,"0.0640172839676393;0;0.0174628535709922;0;0;0;0;0;0;0","0;1;0;0;0;0;0;0;0;1"
0.05,0.1,0.001,-1,FALSE,100,200,0.5,"1;0;1;1;1;1;1;1;1;0",0,"0.202049683366883;0;0.110163224359902;0.0369770618193625;0.0322235098566848;0.0118090810010458;0;0;0;0","0;1;0;0;0;0;0;0;0;1"
0.05,0.01,0.001,-1,FALSE,100,200,0.5,"1;0;1;1;1;1;1;1;1;0",0,"0.23627092924372;0;0.0930470453281929;0.0921871968572683;0.0442994322876174;0.00692993279158876;0.00370863006685224;0;0;0","0;1;0;0;0;0;0;0;0;1"
0.05,1,0.001,2,FALSE,100,200,0.5,"0.82;0;0.63;0.76;0.8;0.79;0.75;0.89;0.7;0",0,"0.676190157110553;0;0.952497884712884;0.7570421036349;0.732966972994276;0.73177730074066;0.772885414492137;0.591710863885314;0.90836650986774;0","0;1;0;0;0;0;0;0;0.01;1"
0.05,0.1,0.001,2,FALSE,100,200,0.5,"0.97;0;0.95;0.95;0.92;0.99;0.99;0.98;1;0",0,"0.392771108599739;0;0.417468826095657;0.269214826928213;0.312536562635945;0.201930204279752;0.178531716838571;0.193617033800285;0.283460650040184;0","0;1;0;0;0;0;0;0;0;1"
0.05,0.01,0.001,2,FALSE,100,200,0.5,"1;0;0.99;1;1;1;1;1;1;0",0,"0.226134463866028;0;0.144250095820732;0.132329797384765;0.0372740071170777;0.0517011863697935;0.0157965585538396;0.00078197738919539;0.00601776503288409;0","0;1;0;0;0;0;0;0;0;1"
0.05,1,1e-04,1,FALSE,100,200,0.5,"0.87;0;0.84;0.83;0.88;0.95;0.87;0.9;0.69;0",0,"0.640892484451522;0;0.734152388024196;0.742065995111094;0.53350346927504;0.55802209709975;0.568595267803673;0.65019304162591;1.00149189710276;0","0;1;0;0;0;0;0;0;0.01;1"
0.05,0.1,1e-04,1,FALSE,100,200,0.5,"0.99;0;0.96;0.98;1;1;1;0.99;0.97;0",0,"0.32286772536457;0;0.277194822743713;0.163604783000677;0.107039521881128;0.0863231424096502;0.0768783320628789;0.113749488913101;0.160382000721835;0","0;1;0;0;0;0;0;0;0.02;1"
0.05,0.01,1e-04,1,FALSE,100,200,0.5,"1;0;1;1;1;1;1;1;1;0",0,"0.236773466615079;0;0.175082418148127;0.101891333479764;0.0190224232656433;0.0171017701132209;0.0255577051631163;0.00928291202177127;0.00940779199649411;0","0;1;0;0;0;0;0;0;0;1"
0.05,1,1e-04,-1,FALSE,100,200,0.5,"0.99;0;1;1;1;1;1;1;0.99;0",0,"0.245552131625898;0;0.088590081889796;0.0595525197654072;0.0203516357423492;0.00682035765624634;0;0;0;0","0;1;0;0;0;0;0;0;0.01;1"
0.05,0.1,1e-04,-1,FALSE,100,200,0.5,"0.98;0;1;1;1;1;1;1;0.98;0",0,"0.271085253027202;0;0.128393965221969;0.0446152559112465;0.020356144455862;0.017969735864253;0;0;0;0","0;1;0;0;0;0;0;0;0.02;1"
0.05,0.01,1e-04,-1,FALSE,100,200,0.5,"0.99;0;1;1;1;1;1;1;0.99;0",0,"0.254876175507195;0;0.109991841487682;0.0288879656682078;0.0280186207394672;0.00923411365329422;0;0;0;0","0;1;0;0;0;0;0;0;0.01;1"
0.05,1,1e-04,2,FALSE,100,200,0.5,"0.97;0;0.99;0.97;0.98;0.98;0.98;1;1;0",0,"0.290987349249071;0;0.311829231084697;0.296215033911594;0.172392998972841;0.279320893633872;0.207419675310375;0.19613229736392;0.304056473970404;0","0;1;0;0;0;0;0;0;0;1"
0.05,0.1,1e-04,2,FALSE,100,200,0.5,"0.99;0;1;1;1;1;1;1;0.99;0",0,"0.251081036796443;0;0.152857539807041;0.123845221659789;0.0623473642465793;0.0509051796151402;0.0586102605290442;0.0687009860583595;0.0653679786686268;0","0;1;0;0;0;0;0;0;0.01;1"
0.05,0.01,1e-04,2,FALSE,100,200,0.5,"0.99;0;0.98;1;1;1;1;1;1;0",0,"0.226000771697752;0;0.121552876496475;0.0673779317858189;0.0593455355731781;0.0119474991084946;0.0147304589619831;0.0100393448114408;0.00679577933766971;0","0;1;0;0;0;0;0;0;0;1"
